symbol,description,exch,last,volume,high,low,close,change,average_volume,volatility,date
ACU,Acme United Corp,A,44.09,25764,45.74,44.07,44.09,-1.13,7275,0.03787706963030169,2026-04-15
AEF,"ABERDEEN EMERGING MARKETS EQUITY INCOME FUND, INC.",A,8.5,101800,8.5584,8.41,8.5,0.02,52990,0.01745882352941183,2026-04-15
AEON,AEON Biopharma Inc,A,0.9459,1120290,0.9459,0.8501,0.9459,0.06,133671,0.10127920498995666,2026-04-15
AGIG,Abundia Global Impact Group Inc,A,1.09,129260,1.1253,1.09,1.09,-0.03,0,0.032385321100917325,2026-04-15
AIB,"BlockchAIn Digital Infrastructure, Inc Common Shares",A,1.58,906597,1.68,1.5336,1.58,-0.12,1944178,0.09265822784810117,2026-04-15
AIM,AIM ImmunoTech Inc,A,0.5457,383461,0.58,0.512,0.5457,-0.04,0,0.12461059190031144,2026-04-15
AMBO,Ambow Education Holding Ltd,A,2.33,17588,2.42,2.28,2.33,0.01,8021,0.06008583690987129,2026-04-15
AMS,American Shared Hospital Services,A,1.29,589542,1.31,1.25,1.29,0,10865,0.046511627906976785,2026-04-15
AMZE,Amaze Holdings Inc,A,0.185,3045332,0.185,0.1637,0.185,0.02,0,0.11513513513513506,2026-04-15
APT,Alpha Pro Tech Ltd,A,4.56,25682,4.74,4.55,4.56,-0.14,2988791,0.041666666666666755,2026-04-15
AREN,The Arena Group Holdings Inc,A,1.86,63410,1.92,1.85,1.86,-0.03,0,0.03763440860215045,2026-04-15
ARMP,Armata Pharmaceuticals Inc,A,12.06,28780,13.18,12.05,12.06,-0.82,217163,0.09369817578772795,2026-04-15
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),A,7.16,3241299,7.5225,7.0301,7.16,-0.07,0,0.06877094972067038,2026-04-15
ATCH,AtlasClear Holdings Inc,A,0.2438,2313638,0.252,0.24,0.2438,-0.01,0,0.04922067268252671,2026-04-15
ATNM,Actinium Pharmaceuticals Inc,A,1.26,765563,1.29,1.08,1.26,0.16,2968526,0.16666666666666663,2026-04-15
AUST,Austin Gold Corp,A,1.48,33028,1.49,1.42,1.48,0.03,0,0.04729729729729734,2026-04-15
AZTR,Azitra Inc,A,0.21985,444786,0.22155,0.2113,0.21985,0.01,0,0.04662269729360932,2026-04-15
BATL,Battalion Oil Corp,A,3.3,3792776,3.4699,3.3,3.3,-0.05,8977,0.051484848484848536,2026-04-15
BCHT,Birchtech Corp,A,1.82,84746,1.9135,1.76,1.82,0.02,0,0.08434065934065932,2026-04-15
BCV,Bancroft Fund Ltd,A,23.48,15495,23.87,23.41,23.48,-0.13,0,0.019591141396933597,2026-04-15
BESS,Bimergen Energy Corp,A,2.86,27710,2.99,2.69,2.86,0.16,0,0.10489510489510499,2026-04-15
